Id,emg2,emg3,emg4,emg8,Species
1,4,-12,3,-1,emg-acma
2,-2,17,-2,9,emg-acma
3,-9,-5,0,4,emg-acma
4,14,70,26,-3,emg-acma
5,1,-104,0,3,emg-acma
6,-2,111,-2,7,emg-acma
7,-5,-81,3,-20,emg-acma
8,-2,50,-19,12,emg-acma
9,-26,-30,-29,10,emg-acma
10,2,-103,13,-4,emg-acma
11,9,116,-5,-18,emg-acma
12,-6,-111,9,18,emg-acma
13,18,91,12,-6,emg-acma
14,7,57,-10,12,emg-acma
15,-22,-70,5,-24,emg-acma
16,23,86,-1,11,emg-acma
17,-30,-21,-16,6,emg-acma
18,-3,28,14,-43,emg-acma
19,-22,52,8,9,emg-acma
20,-33,-71,-12,-11,emg-acma
21,20,40,13,-3,emg-acma
22,19,-31,-11,-5,emg-acma
23,23,63,-1,3,emg-acma
24,-11,-20,-3,4,emg-acma
25,3,-59,-6,2,emg-acma
26,13,42,4,12,emg-acma
27,-4,14,4,0,emg-acma
28,-21,-88,-8,4,emg-acma
29,0,42,1,-11,emg-acma
30,3,24,2,-5,emg-acma
31,-5,-62,1,7,emg-acma
32,5,49,4,3,emg-acma
33,-6,-78,-6,20,emg-acma
34,8,41,1,-12,emg-acma
35,3,31,0,9,emg-acma
36,3,21,4,2,emg-acma
37,-4,-52,-2,-7,emg-acma
38,8,10,1,13,emg-acma
39,-6,41,-1,-18,emg-acma
40,-7,-80,-4,7,emg-acma
41,10,44,4,8,emg-acma
42,-10,-70,-8,-20,emg-acma
43,1,29,-3,2,emg-acma
44,4,27,-1,8,emg-acma
45,-9,-33,-3,-9,emg-acma
46,-20,-43,-2,6,emg-acma
47,4,20,0,-11,emg-acma
48,3,37,-2,6,emg-acma
49,0,21,1,-11,emg-acma
50,11,46,31,1,emg-acma
51,-3,-21,-31,-3,emg-acma
52,-10,-66,-19,-3,emg-acma
53,-1,-24,-16,-1,emg-acma
54,7,24,11,-1,emg-acma
55,4,20,4,4,emg-acma
56,-8,-20,-11,-5,emg-acma
57,6,25,17,1,emg-acma
58,-7,24,15,-9,emg-acma
59,3,-36,-15,-2,emg-acma
60,-4,-9,-14,-22,emg-acma
61,5,41,25,2,emg-acma
62,-7,-13,-14,-5,emg-acma
63,-10,-45,-37,0,emg-acma
64,1,13,9,7,emg-acma
65,-2,11,5,-3,emg-acma
66,6,22,26,6,emg-acma
67,9,49,21,-6,emg-acma
68,8,-11,1,0,emg-acma
69,-12,-63,-41,5,emg-acma
70,-2,13,-34,-5,emg-acma
71,-5,-32,26,-9,emg-acma
72,11,61,58,3,emg-acma
73,4,20,-31,5,emg-acma
74,-20,-67,-73,-10,emg-acma
75,38,2,5,17,emg-kapama
76,-8,-9,-7,16,emg-kapama
77,31,16,3,22,emg-kapama
78,-32,1,-11,-22,emg-kapama
79,-10,3,-19,-12,emg-kapama
80,-5,7,5,-12,emg-kapama
81,54,-3,-12,8,emg-kapama
82,-45,24,4,-28,emg-kapama
83,16,0,15,20,emg-kapama
84,-15,-10,-26,-31,emg-kapama
85,-9,5,1,-33,emg-kapama
86,10,-19,-5,29,emg-kapama
87,-16,-8,5,19,emg-kapama
88,14,1,-2,-14,emg-kapama
89,-14,9,-4,-26,emg-kapama
90,-19,-22,-5,-23,emg-kapama
91,22,1,3,14,emg-kapama
92,-10,11,-3,29,emg-kapama
93,-20,-12,-14,9,emg-kapama
94,20,2,17,16,emg-kapama
95,-8,2,7,3,emg-kapama
96,16,-6,-25,36,emg-kapama
97,-10,-6,-13,-34,emg-kapama
98,10,-5,12,-28,emg-kapama
99,15,6,-5,-17,emg-kapama
100,-34,2,8,6,emg-kapama
101,10,-2,-6,1,emg-kapama
102,-39,3,-3,14,emg-kapama
103,1,-5,-11,-23,emg-kapama
104,3,5,9,4,emg-kapama
105,-13,-3,-10,-2,emg-kapama
106,12,11,0,33,emg-kapama
107,5,-6,-5,15,emg-kapama
108,44,12,4,0,emg-kapama
109,-6,-8,-5,-38,emg-kapama
110,-23,-2,-4,7,emg-kapama
11,-5,-3,-15,11,emg-kapama
112,27,1,9,-12,emg-kapama
113,-48,2,2,17,emg-kapama
114,27,-2,-7,-12,emg-kapama
115,-14,-2,-2,11,emg-kapama
116,6,-13,0,5,emg-kapama
117,7,11,8,1,emg-kapama
118,-1,-9,-2,19,emg-kapama
119,25,1,-7,-6,emg-kapama
120,-18,17,6,5,emg-kapama
121,19,-5,8,-14,emg-kapama
122,-21,-13,-11,-3,emg-kapama
123,10,4,-5,14,emg-kapama
124,-3,-4,-12,-4,emg-kapama
125,-6,3,19,4,emg-kapama
126,-13,13,9,-18,emg-kapama
127,22,-3,-5,46,emg-kapama
128,-50,-9,-3,-50,emg-kapama
129,29,3,-1,10,emg-kapama
130,4,-4,0,-7,emg-kapama
131,-25,-7,-10,6,emg-kapama
132,4,9,2,27,emg-kapama
133,60,0,2,43,emg-kapama
134,-79,-13,-2,-42,emg-kapama
135,-10,2,5,-43,emg-kapama
136,10,-16,-2,26,emg-kapama
137,0,5,13,26,emg-kapama
138,-41,-6,3,-27,emg-kapama
139,-15,-7,-15,36,emg-kapama
140,19,1,-3,-35,emg-kapama
141,22,11,15,22,emg-kapama
142,-21,-6,-12,-11,emg-kapama
143,22,-1,-5,15,emg-kapama
144,4,5,1,23,emg-kapama
145,-3,3,15,-32,emg-kapama
146,-2,-3,-4,-17,emg-kapama
147,14,0,-3,11,emg-kapama
148,-12,-2,-9,-44,emg-kapama
149,-5,-1,4,7,emg-kapama
150,-4,2,11,-14,emg-kapama
